inventory_book_id	book_isbn	book_name 	book_type 	width 	height 	page_count 	dust_jacket 	lamination 	color_page	paper_gsm_type	cover_type 	special_inst 	file_origin
1174	9789352065325	Sociopath: Deceitful Game : Trust is a funny word...	Paperback	5	8	350	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		FTP
1173	9789352065127	The Cry in the Nights	Paperback	5	8	222	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		FTP
1172	9789352064793	Intelligent Design & Industrial Logic :Attitudes in Engineering, Architecture, Design & Strategy [Objectivity + Subjectivity]	Paperback	8	11	170	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		FTP
1171	9789352064854	25 Ways to a Holistic Life : Tips to Read On-The-Go	Paperback	5	8	154	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		FTP
1170	9789352064168	Wisdom after Vagabond	Paperback	5	8	106	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		FTP
1169	9789352064502	Raahi	Paperback	5	8	156	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1168	9789352064892	Lion of Hearts	Paperback	5	8	192	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1167	9789352065172	Rudhra-Maaya : The Lord and Love	Paperback	5	8	162	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1166	9789352064830	Power Surge In Eden	Paperback	5	8	236	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1165	9789352064946	A Mile High Melody	Paperback	5	8	242	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1164	9789352064571	Spirit Flows Power Glows : Success Starts in Your Heart	Paperback	6	9	174	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1163	9789352063222	Experiencing the Divine grace of Sri Sathya Sai Avatar	Paperback	6	9	482	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1162	9789352064878	P.S. Be My Angel	Paperback	5	8	328	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1161	9789352065011	Respect : The Best Revenge is Success	Paperback	5	8	172	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1160	9789352064991	Garden of Life : A guide to life mastery for young people…	Paperback	5	8	163	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1159	9789352064618	We’re fOreVER	Paperback	5	8	156	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1158	9789352064632	Superhuman in You : Believe that you are God’s Gift. And let Him help to discover the Real You.	Paperback	5	8	96	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1157	9789352063185	Hamari Hindustani Shadiyan	Paperback	5	8	96	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1156	9789352064007	Rainbows in my Clouds	Paperback	5	8	332	No	Gloss	69,70,71,72,193,194,195,196,301,302,303,304,305,306,307,308	70 GSM Seshai NS	250 GSM ITC PL Graphics	Color images on art paper in pages 69,70,71,72,193,194,195,196,301,302,303,304,305,306,307,308	
1155	9789352064328	Strange Relationship : A bouquet of 21 Short Stories	Paperback	5	8	244	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1154	9789352064984	How an iPhone made me the youngest billionaire	Paperback	5	8	183	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1153	9789352063734	Competitive Microbiology	Paperback	8	11	402	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1152	9789352064663	Emotional Persecution : When Luck Hits You Hard	Paperback	5	8	252	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1151	9789352064861	A Slice From The Past : Celebrating Innocence	Paperback	5	8	170	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1150	9789352064915	MCQs in Current Affairs : Enhance Your Current Affairs Awareness	Paperback	5	8	88	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1149	9789352064717	Sojourn in Sub-Zero	Paperback	5	8	98	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1148	9789352062591	The Gita : Rendition in Rhymed English Verse with Sanskrit Text	Paperback	6	9	416	Yes	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1147	9789352064731	Pink Screams	Paperback	5	8	202	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1146	9789352064687	My Mysterious Friend	Paperback	5	8	224	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1145	9789352064533	A Brief History of the Immortals of Non-Hindu Civilizations : In association with Aryavart Sanatan Vahini 'Dharmraj'	Paperback	6	9	338	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1144	9789352064779	Periphery of the Heart : A Collection of Poetry	Paperback	5	8	112	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1143	9789352064557	The Blue Moon Day : Five Men's Magical Discovery enroute Life	Paperback	5	8	254	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1142	9789352064809	Kids are My Paradise : This is NOT just a story this is a REAL life story, which has a lot of love and affection	Paperback	5	8	142	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1141	9789352064519	Race for Space : How to increase the size of your incentive cheque in retail sales	Paperback	5	8	129	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1140	9789352063987	BHUTHA	Paperback	5	8	246	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1139	9789352064366	Master the Group Discussion & Personal Interview : Complete Discussion on the topics asked by reputed B-schools & IIMs	Paperback	6	9	198	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1138	9789352064458	Quad Lamhe	Paperback	5	8	124	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1137	9789352064755	Important Yogas in Vedic Astrology	Paperback	5	8	182	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1136	9789352064304	How Could I Not See Him?	Paperback	5	8	116	No	Matte		70 GSM Seshai NS	250 GSM ITC PL Graphics		
1135	9789352064236	Chal Ban Ja Murg:Kukudu Ku	Paperback	5	8	274	No	Gloss		70 GSM Seshai NS	250 GSM ITC PL Graphics		
